APP Features 1,Review 1,App Features 2,Review 2,Fiaz,Naveen,target_label,e12,e21,c12,c21,nli_score,lex_score,lex_jaccard,lex_cosine,contradiction,rule_flag,final_score,pred,match
likes,"Is this true that the updated version of whatsapp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).",liking,Love the fact u can customize and listen offline ur play lists...also the up to date music you can Save instead of liking.,1,1,1,0.9920117259025574,0.9382742643356323,0.0054483660496771336,0.03974393382668495,0.9769502637970466,0.7714135944843292,0.02586206896551724,0.7714135944843292,0.03974393382668495,0.0,0.8741819291406879,1,1
link and you click,"When something is posted that has a link and you click on it, it takes you to a Web page, but there's no way to get back to Facebook without hitting home and going back to the app.",link to the full site,But I wish it had a link to the full site like the mobile version does.,0,0,0,0.3700979948043823,0.11222229897975922,0.2118973582983017,0.36334729194641113,0.4359433871923822,0.7281638383865356,0.1375,0.7281638383865356,0.36334729194641113,0.0,0.5820536127894589,0,1
loaded,"It's so bad, that it's clearly obvious that the author of the software and the person who approved its release for the Fire has never ever actually loaded it and run it on a Fire.",loading,when I sign on and it sits there loading for ever and when I click on the tab on the top it loads my messages just fine.,1,1,1,0.09823422133922577,0.9700621962547302,0.047542549669742584,0.005270334891974926,0.834231883758777,0.742245115339756,0.07317073170731707,0.742245115339756,0.047542549669742584,0.0,0.7882384995492665,1,1
clicked on a song,I clicked on a song and it plays a whole different song,click on the tab,when I sign on and it sits there loading for ever and when I click on the tab on the top it loads my messages just fine.,0,0,0,0.17381133139133453,0.00479946518316865,0.2836307883262634,0.8921170830726624,0.19265730653634405,0.6556588038802147,0.14835164835164835,0.6556588038802147,0.8921170830726624,0.0,0.0,0,1
clip selected text,"I clip selected text, web pages and links and can access them later on any of my devices.",clip web pages,"I clip selected text, web pages and links and can access them later on any of my devices.",0,0,0,0.9377386569976807,0.9286438226699829,0.015321935527026653,0.029549341648817062,0.9765424068284949,0.8692930862307549,0.6,0.8692930862307549,0.029549341648817062,1.0,0.6460424225707374,0,1
closes,I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything.,closing,Well for one thing your app doesn't look anything like the pictures above and for another I got to edit one photo and then the app wouldn't open and kept force closing I hate it so I removed imedently,1,1,1,0.9931527376174927,0.9748347401618958,0.0034267620649188757,0.011950116604566574,0.9922256512143182,0.8670307546854019,0.0851063829787234,0.8670307546854019,0.011950116604566574,0.0,0.92962820294986,1,1
communicate,From all around the world we can communicate.,commercia interruption,My grandchild loves to watch her shows and I can catch my favorites without commercial interruption.,0,0,0,0.007197816390544176,0.9038616418838501,0.9667375683784485,0.006800764240324497,0.4999612516424286,0.6034675315022469,0.022727272727272728,0.6034675315022469,0.9667375683784485,0.0,0.0,0,1
communicate properly with friends,Until the problem is fixed I will be without access to Facebook and therefore unable to communicate properly with friends and family.,communicate properly with family,Until the problem is fixed I will be without access to Facebook and therefore unable to communicate properly with friends and family.,0,0,0,0.9140270948410034,0.9863481521606445,0.06701809167861938,0.006557902321219444,0.9625411367376981,0.9044440984725952,0.8,0.9044440984725952,0.06701809167861938,0.0,0.9334926176051467,1,0
edit pics,its a great app to edit pics,editing photo's,Great Photo Editing App for editing Photo's,1,1,1,0.9494521021842957,0.8992879986763,0.0074756392277777195,0.02337360940873623,0.9834275229609928,0.8933703452348709,0.09090909090909091,0.8933703452348709,0.02337360940873623,0.0,0.9383989340979318,1,1
find what you need,User friendly app that loads quickly and well and is easy to navigate and find what you need.,find what you want,"Excellent, very easy to find what you want and I think the &#34;films like ......&#34; that shows movies or programmes similar to the ones you've watched is a great idea.",0,0,0,0.9089546799659729,0.9920479655265808,0.0090545155107975,0.0026742476038634777,0.9937241673653747,0.7709349393844604,0.4111111111111111,0.7709349393844604,0.0090545155107975,0.0,0.8823295533749176,1,0
